refractive index,Sodium,Magnesium,Aluminum,Silicon,Potassium,Calcium,Barium,Iron,class
1,1,2,1,All,2,2,All,All,3
1,1,2,1,All,2,2,All,All,3
1,1,2,1,All,2,2,All,All,3
1,1,2,1,All,2,2,All,All,3
2,2,2,1,All,1,3,All,All,3
2,1,2,2,All,2,2,All,All,3
2,1,2,2,All,2,2,All,All,3
2,1,2,2,All,2,2,All,All,3
2,1,2,1,All,2,2,All,All,3
2,2,2,1,All,2,2,All,All,3
1,2,1,3,All,2,1,All,All,5
2,1,1,3,All,2,3,All,All,5
2,1,1,2,All,2,3,All,All,5
2,1,1,2,All,2,3,All,All,5
2,1,1,3,All,2,3,All,All,5
1,1,1,3,All,2,3,All,All,5
2,1,1,3,All,2,3,All,All,5
2,1,1,2,All,2,3,All,All,5
1,1,1,3,All,2,1,All,All,5
1,1,1,3,All,2,1,All,All,5
2,1,1,2,All,2,3,All,All,5
2,1,1,3,All,2,3,All,All,5
2,1,1,2,All,2,3,All,All,5
2,2,1,2,All,1,3,All,All,6
2,1,1,1,All,1,3,All,All,6
2,2,1,2,All,1,3,All,All,6
2,2,1,3,All,1,3,All,All,6
1,2,1,2,All,1,1,All,All,6
2,2,1,3,All,1,3,All,All,6
2,2,1,3,All,1,3,All,All,6
2,2,1,1,All,1,3,All,All,6
1,2,1,1,All,1,1,All,All,6
1,1,2,3,All,2,1,All,All,7
2,2,2,3,All,2,1,All,All,7
2,1,2,1,All,2,2,All,All,7
2,2,1,3,All,2,3,All,All,7
2,2,1,1,All,2,2,All,All,7
1,2,1,3,All,1,2,All,All,7
1,2,1,3,All,1,2,All,All,7
1,2,1,3,All,1,2,All,All,7
1,2,1,3,All,1,2,All,All,7
1,2,1,3,All,1,2,All,All,7
1,2,1,3,All,1,2,All,All,7
1,2,1,3,All,2,3,All,All,7
1,2,1,3,All,1,2,All,All,7
1,2,1,3,All,1,2,All,All,7
1,2,1,3,All,1,2,All,All,7
1,2,1,3,All,1,2,All,All,7
1,1,1,1,All,2,2,All,All,7
1,2,1,3,All,1,2,All,All,7
1,2,1,3,All,1,1,All,All,7
1,2,1,3,All,1,2,All,All,7
1,2,1,3,All,1,2,All,All,7
1,2,1,3,All,1,2,All,All,7
2,2,1,3,All,2,1,All,All,7
1,2,1,3,All,1,3,All,All,7
1,2,1,3,All,1,2,All,All,7
1,2,1,3,All,1,2,All,All,7
2,2,1,3,All,1,2,All,All,7
1,2,1,3,All,1,2,All,All,7
1,2,1,3,All,1,2,All,All,7
